20:43:54    0 ****************************************************
20:43:54    0 ** Dragonfly version 4.15 **
20:43:54    0 ** Game engine started **
20:43:54    0 ****************************************************
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/asteroid-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'asteroid' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/planet-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'planet' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/gameover-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'gameover' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/gamestart-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'gamestart' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/bullet-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'bullet' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/explosion-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'explosion' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/block-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'block' loaded.
20:43:55   32 Spawning BulletShooter
20:44:01  194  BulletShooter: mouse event
20:44:01  195  BulletShooter: mouse event
20:44:01  196  BulletShooter: mouse event
20:44:01  197  BulletShooter: mouse event
20:44:01  201  BulletShooter: mouse event
20:44:01  202  BulletShooter: mouse event
20:44:01  203  BulletShooter: mouse event
20:44:01  204  BulletShooter: mouse event
20:44:01  205  BulletShooter: mouse event
20:44:01  206  BulletShooter: mouse event
20:44:01  207  BulletShooter: mouse event
20:44:01  208  BulletShooter: mouse event
20:44:01  209  BulletShooter: mouse event
20:44:01  210  BulletShooter: mouse event
20:44:01  211  BulletShooter: mouse event
20:44:01  212  BulletShooter: mouse event
20:44:01  213  BulletShooter: mouse event
20:44:01  214  BulletShooter: mouse event
20:44:01  214  BulletShooter: mouse event
20:44:01  215  BulletShooter: mouse event
20:44:01  216  BulletShooter: mouse event
20:44:01  217  BulletShooter: mouse event
20:44:01  218  BulletShooter: mouse event
20:44:01  219  BulletShooter: mouse event
20:44:01  219 Removing Asteroid
20:44:01  219 Removing Asteroid
20:44:01  220  BulletShooter: mouse event
20:44:01  221  BulletShooter: mouse event
20:44:01  222  BulletShooter: mouse event
20:44:02  223  BulletShooter: mouse event
20:44:02  224  BulletShooter: mouse event
20:44:02  225  BulletShooter: mouse event
20:44:02  226  BulletShooter: mouse event
20:44:02  227  BulletShooter: mouse event
20:44:02  228  BulletShooter: mouse event
20:44:02  229  BulletShooter: mouse event
20:44:02  230  BulletShooter: mouse event
20:44:02  231  BulletShooter: mouse event
20:44:02  232  BulletShooter: mouse event
20:44:02  235  BulletShooter: mouse event
20:44:02  237  BulletShooter: mouse event
20:44:02  238  BulletShooter: mouse event
20:44:02  239  BulletShooter: mouse event
20:44:02  240  BulletShooter: mouse event
20:44:02  241  BulletShooter: mouse event
20:44:02  242  BulletShooter: mouse event
20:44:02  243  BulletShooter: mouse event
20:44:02  243  BulletShooter: mouse event
20:44:02  244  BulletShooter: mouse event
20:44:02  245  BulletShooter: mouse event
20:44:02  246  BulletShooter: mouse event
20:44:02  247  BulletShooter: mouse event
20:44:02  248  BulletShooter: mouse event
20:44:02  249  BulletShooter: mouse event
20:44:02  249  BulletShooter: mouse event
20:44:02  250  BulletShooter: mouse event
20:44:02  251  BulletShooter: mouse event
20:44:02  252  BulletShooter: mouse event
20:44:03  253  BulletShooter: mouse event
20:44:03  254  BulletShooter: mouse event
20:44:03  255  BulletShooter: mouse event
20:44:03  256  BulletShooter: mouse event
20:44:03  257  BulletShooter: mouse event
20:44:03  258  BulletShooter: mouse event
20:44:03  259  BulletShooter: mouse event
20:44:03  264  BulletShooter: mouse event
20:44:03  265  BulletShooter: mouse event
20:44:03  266  BulletShooter: mouse event
20:44:03  267  BulletShooter: mouse event
20:44:03  268  BulletShooter: mouse event
20:44:03  269  BulletShooter: mouse event
20:44:03  270  BulletShooter: mouse event
20:44:03  271  BulletShooter: mouse event
20:44:03  272  BulletShooter: mouse event
20:44:03  273  BulletShooter: mouse event
20:44:03  274  BulletShooter: mouse event
20:44:03  276 BulletShooter: Pew Pew
20:44:03  276  BulletShooter: mouse event
20:44:03  276  BulletShooter: mouse event
20:44:03  277  BulletShooter: mouse event
20:44:03  278  BulletShooter: mouse event
20:44:03  279  BulletShooter: mouse event
20:44:03  280  BulletShooter: mouse event
20:44:03  281  BulletShooter: mouse event
20:44:03  282  BulletShooter: mouse event
20:44:03  283  BulletShooter: mouse event
20:44:04  284  BulletShooter: mouse event
20:44:04  285  BulletShooter: mouse event
20:44:04  286  BulletShooter: mouse event
20:44:04  287  BulletShooter: mouse event
20:44:04  288  BulletShooter: mouse event
20:44:04  289  BulletShooter: mouse event
20:44:04  290  BulletShooter: mouse event
20:44:04  292  BulletShooter: mouse event
20:44:04  293  BulletShooter: mouse event
20:44:04  293  BulletShooter: mouse event
20:44:04  294  BulletShooter: mouse event
20:44:04  294  BulletShooter: mouse event
20:44:04  295  BulletShooter: mouse event
20:44:04  296  BulletShooter: mouse event
20:44:04  296  BulletShooter: mouse event
20:44:04  297  BulletShooter: mouse event
20:44:04  298  BulletShooter: mouse event
20:44:04  300  BulletShooter: mouse event
20:44:04  300  BulletShooter: mouse event
20:44:04  301  BulletShooter: mouse event
20:44:04  301 Removing Asteroid
20:44:04  301 Removing Asteroid
20:44:04  302  BulletShooter: mouse event
20:44:04  303  BulletShooter: mouse event
20:44:04  304  BulletShooter: mouse event
20:44:04  305  BulletShooter: mouse event
20:44:04  306  BulletShooter: mouse event
20:44:04  307  BulletShooter: mouse event
20:44:04  308  BulletShooter: mouse event
20:44:04  309  BulletShooter: mouse event
20:44:04  311  BulletShooter: mouse event
20:44:05  315 Removing Asteroid
20:44:05  315 Removing Asteroid
20:44:05  316  BulletShooter: mouse event
20:44:05  316 BulletShooter: Pew Pew
20:44:05  316  BulletShooter: mouse event
20:44:05  316  BulletShooter: mouse event
20:44:05  317  BulletShooter: mouse event
20:44:05  317  BulletShooter: mouse event
20:44:05  318  BulletShooter: mouse event
20:44:05  319  BulletShooter: mouse event
20:44:05  320  BulletShooter: mouse event
20:44:05  320  BulletShooter: mouse event
20:44:05  321  BulletShooter: mouse event
20:44:05  326  BulletShooter: mouse event
20:44:05  327  BulletShooter: mouse event
20:44:05  328  BulletShooter: mouse event
20:44:05  329  BulletShooter: mouse event
20:44:05  330  BulletShooter: mouse event
20:44:05  331  BulletShooter: mouse event
20:44:05  332  BulletShooter: mouse event
20:44:05  333  BulletShooter: mouse event
20:44:05  334  BulletShooter: mouse event
20:44:05  335  BulletShooter: mouse event
20:44:05  337  BulletShooter: mouse event
20:44:05  338  BulletShooter: mouse event
20:44:05  339  BulletShooter: mouse event
20:44:06  349 BulletShooter: Pew Pew
20:44:06  349  BulletShooter: mouse event
20:44:06  349  BulletShooter: mouse event
20:44:06  350  BulletShooter: mouse event
20:44:06  351  BulletShooter: mouse event
20:44:06  356  BulletShooter: mouse event
20:44:06  356  BulletShooter: mouse event
20:44:06  357  BulletShooter: mouse event
20:44:06  357 Removing Asteroid
20:44:06  357 Removing Asteroid
20:44:06  357 Removing Asteroid
20:44:06  357 Removing Asteroid
20:44:06  358  BulletShooter: mouse event
20:44:06  359  BulletShooter: mouse event
20:44:06  359  BulletShooter: mouse event
20:44:06  360  BulletShooter: mouse event
20:44:06  361  BulletShooter: mouse event
20:44:06  361  BulletShooter: mouse event
20:44:06  362  BulletShooter: mouse event
20:44:06  362  BulletShooter: mouse event
20:44:06  363  BulletShooter: mouse event
20:44:06  364  BulletShooter: mouse event
20:44:06  364  BulletShooter: mouse event
20:44:06  364  BulletShooter: mouse event
20:44:06  364  BulletShooter: mouse event
20:44:06  365  BulletShooter: mouse event
20:44:06  365  BulletShooter: mouse event
20:44:06  366  BulletShooter: mouse event
20:44:06  366  BulletShooter: mouse event
20:44:06  367  BulletShooter: mouse event
20:44:06  367  BulletShooter: mouse event
20:44:06  368  BulletShooter: mouse event
20:44:06  370  BulletShooter: mouse event
20:44:06  370  BulletShooter: mouse event
20:44:06  371  BulletShooter: mouse event
20:44:06  372  BulletShooter: mouse event
20:44:06  374  BulletShooter: mouse event
20:44:06  374  BulletShooter: mouse event
20:44:07  375  BulletShooter: mouse event
20:44:07  376  BulletShooter: mouse event
20:44:07  377  BulletShooter: mouse event
20:44:07  377  BulletShooter: mouse event
20:44:07  378  BulletShooter: mouse event
20:44:07  379 BulletShooter: Pew Pew
20:44:07  379  BulletShooter: mouse event
20:44:07  379  BulletShooter: mouse event
20:44:07  380  BulletShooter: mouse event
20:44:07  380  BulletShooter: mouse event
20:44:07  381  BulletShooter: mouse event
20:44:07  382  BulletShooter: mouse event
20:44:07  383  BulletShooter: mouse event
20:44:07  383 Removing Asteroid
20:44:07  383 Removing Asteroid
20:44:07  384  BulletShooter: mouse event
20:44:07  385  BulletShooter: mouse event
20:44:07  385  BulletShooter: mouse event
20:44:07  386  BulletShooter: mouse event
20:44:07  387  BulletShooter: mouse event
20:44:07  388  BulletShooter: mouse event
20:44:07  389  BulletShooter: mouse event
20:44:07  389  BulletShooter: mouse event
20:44:07  389  BulletShooter: mouse event
20:44:07  390  BulletShooter: mouse event
20:44:07  391  BulletShooter: mouse event
20:44:07  392  BulletShooter: mouse event
20:44:07  392  BulletShooter: mouse event
20:44:07  393  BulletShooter: mouse event
20:44:07  393 Removing Asteroid
20:44:07  393 Removing Asteroid
20:44:07  394  BulletShooter: mouse event
20:44:07  395  BulletShooter: mouse event
20:44:07  395  BulletShooter: mouse event
20:44:07  396  BulletShooter: mouse event
20:44:07  398  BulletShooter: mouse event
20:44:07  398 Block hit by asteroid
20:44:07  399  BulletShooter: mouse event
20:44:07  402  BulletShooter: mouse event
20:44:07  403  BulletShooter: mouse event
20:44:07  404  BulletShooter: mouse event
20:44:07  404 Block hit by asteroid
20:44:08  405  BulletShooter: mouse event
20:44:08  406  BulletShooter: mouse event
20:44:08  407  BulletShooter: mouse event
20:44:08  408  BulletShooter: mouse event
20:44:08  409  BulletShooter: mouse event
20:44:08  410  BulletShooter: mouse event
20:44:08  410 BulletShooter: Pew Pew
20:44:08  410  BulletShooter: mouse event
20:44:08  410  BulletShooter: mouse event
20:44:08  410  BulletShooter: mouse event
20:44:08  411  BulletShooter: mouse event
20:44:08  411  BulletShooter: mouse event
20:44:08  412  BulletShooter: mouse event
20:44:08  412  BulletShooter: mouse event
20:44:08  413  BulletShooter: mouse event
20:44:08  414  BulletShooter: mouse event
20:44:08  415  BulletShooter: mouse event
20:44:08  417  BulletShooter: mouse event
20:44:08  417  BulletShooter: mouse event
20:44:08  418  BulletShooter: mouse event
20:44:08  418  BulletShooter: mouse event
20:44:08  419  BulletShooter: mouse event
20:44:08  419  BulletShooter: mouse event
20:44:08  420  BulletShooter: mouse event
20:44:08  420 Block hit by asteroid
20:44:08  421  BulletShooter: mouse event
20:44:08  422  BulletShooter: mouse event
20:44:08  423  BulletShooter: mouse event
20:44:08  424  BulletShooter: mouse event
20:44:08  425  BulletShooter: mouse event
20:44:08  426  BulletShooter: mouse event
20:44:08  427  BulletShooter: mouse event
20:44:08  428  BulletShooter: mouse event
20:44:08  429  BulletShooter: mouse event
20:44:08  430  BulletShooter: mouse event
20:44:08  431  BulletShooter: mouse event
20:44:08  432  BulletShooter: mouse event
20:44:08  433  BulletShooter: mouse event
20:44:08  434  BulletShooter: mouse event
20:44:09  435  BulletShooter: mouse event
20:44:09  436  BulletShooter: mouse event
20:44:09  437  BulletShooter: mouse event
20:44:09  439  BulletShooter: mouse event
20:44:09  439  BulletShooter: mouse event
20:44:09  440  BulletShooter: mouse event
20:44:09  444 BulletShooter: Pew Pew
20:44:09  444  BulletShooter: mouse event
20:44:09  444  BulletShooter: mouse event
20:44:09  445  BulletShooter: mouse event
20:44:09  446  BulletShooter: mouse event
20:44:09  450  BulletShooter: mouse event
20:44:09  450  BulletShooter: mouse event
20:44:09  451  BulletShooter: mouse event
20:44:09  455  BulletShooter: mouse event
20:44:09  455  BulletShooter: mouse event
20:44:09  456  BulletShooter: mouse event
20:44:09  458  BulletShooter: mouse event
20:44:09  458  BulletShooter: mouse event
20:44:09  459  BulletShooter: mouse event
20:44:09  460  BulletShooter: mouse event
20:44:09  461  BulletShooter: mouse event
20:44:09  462  BulletShooter: mouse event
20:44:09  463  BulletShooter: mouse event
20:44:09  464  BulletShooter: mouse event
20:44:09  465  BulletShooter: mouse event
20:44:10  466  BulletShooter: mouse event
20:44:10  467  BulletShooter: mouse event
20:44:10  468  BulletShooter: mouse event
20:44:10  469  BulletShooter: mouse event
20:44:10  470  BulletShooter: mouse event
20:44:10  470  BulletShooter: mouse event
20:44:10  471  BulletShooter: mouse event
20:44:10  471  BulletShooter: mouse event
20:44:10  472  BulletShooter: mouse event
20:44:10  472  BulletShooter: mouse event
20:44:10  473  BulletShooter: mouse event
20:44:10  474  BulletShooter: mouse event
20:44:10  475  BulletShooter: mouse event
20:44:10  476  BulletShooter: mouse event
20:44:10  477  BulletShooter: mouse event
20:44:10  478  BulletShooter: mouse event
20:44:10  479  BulletShooter: mouse event
20:44:10  480  BulletShooter: mouse event
20:44:10  481  BulletShooter: mouse event
20:44:10  482  BulletShooter: mouse event
20:44:10  483  BulletShooter: mouse event
20:44:10  483  BulletShooter: mouse event
20:44:10  484  BulletShooter: mouse event
20:44:10  485  BulletShooter: mouse event
20:44:10  486  BulletShooter: mouse event
20:44:10  487  BulletShooter: mouse event
20:44:10  488  BulletShooter: mouse event
20:44:10  489  BulletShooter: mouse event
20:44:10  491 BulletShooter: Pew Pew
20:44:10  491  BulletShooter: mouse event
20:44:10  491  BulletShooter: mouse event
20:44:10  492  BulletShooter: mouse event
20:44:10  493  BulletShooter: mouse event
20:44:10  494  BulletShooter: mouse event
20:44:10  494  BulletShooter: mouse event
20:44:10  495  BulletShooter: mouse event
20:44:11  496  BulletShooter: mouse event
20:44:11  497  BulletShooter: mouse event
20:44:11  497  BulletShooter: mouse event
20:44:11  498  BulletShooter: mouse event
20:44:11  498  BulletShooter: mouse event
20:44:11  499  BulletShooter: mouse event
20:44:11  500  BulletShooter: mouse event
20:44:11  501  BulletShooter: mouse event
20:44:11  502  BulletShooter: mouse event
20:44:11  502  BulletShooter: mouse event
20:44:11  503  BulletShooter: mouse event
20:44:11  503  BulletShooter: mouse event
20:44:11  503 Removing Asteroid
20:44:11  503 Removing Asteroid
20:44:11  504  BulletShooter: mouse event
20:44:11  504  BulletShooter: mouse event
20:44:11  506  BulletShooter: mouse event
20:44:11  507  BulletShooter: mouse event
20:44:11  511  BulletShooter: mouse event
20:44:11  512  BulletShooter: mouse event
20:44:11  513  BulletShooter: mouse event
20:44:11  514  BulletShooter: mouse event
20:44:11  515  BulletShooter: mouse event
20:44:11  515  BulletShooter: mouse event
20:44:11  516  BulletShooter: mouse event
20:44:11  517  BulletShooter: mouse event
20:44:11  518  BulletShooter: mouse event
20:44:11  518 Block hit by asteroid
20:44:11  519  BulletShooter: mouse event
20:44:11  519 Removing Asteroid
20:44:11  519 Removing Asteroid
20:44:11  521  BulletShooter: mouse event
20:44:11  521 BulletShooter: Pew Pew
20:44:11  521  BulletShooter: mouse event
20:44:11  521  BulletShooter: mouse event
20:44:11  522  BulletShooter: mouse event
20:44:11  523  BulletShooter: mouse event
20:44:11  523  BulletShooter: mouse event
20:44:11  524  BulletShooter: mouse event
20:44:11  524  BulletShooter: mouse event
20:44:11  525  BulletShooter: mouse event
20:44:12  526  BulletShooter: mouse event
20:44:12  526  BulletShooter: mouse event
20:44:12  527  BulletShooter: mouse event
20:44:12  528  BulletShooter: mouse event
20:44:12  529  BulletShooter: mouse event
20:44:12  530  BulletShooter: mouse event
20:44:12  531  BulletShooter: mouse event
20:44:12  532  BulletShooter: mouse event
20:44:12  533  BulletShooter: mouse event
20:44:12  534  BulletShooter: mouse event
20:44:12  534  BulletShooter: mouse event
20:44:12  534  BulletShooter: mouse event
20:44:12  535  BulletShooter: mouse event
20:44:12  535  BulletShooter: mouse event
20:44:12  536  BulletShooter: mouse event
20:44:12  537  BulletShooter: mouse event
20:44:12  537  BulletShooter: mouse event
20:44:12  538  BulletShooter: mouse event
20:44:12  538  BulletShooter: mouse event
20:44:12  539  BulletShooter: mouse event
20:44:12  540  BulletShooter: mouse event
20:44:12  540  BulletShooter: mouse event
20:44:12  541  BulletShooter: mouse event
20:44:12  541  BulletShooter: mouse event
20:44:12  542  BulletShooter: mouse event
20:44:12  542  BulletShooter: mouse event
20:44:12  543  BulletShooter: mouse event
20:44:12  543  BulletShooter: mouse event
20:44:12  544  BulletShooter: mouse event
20:44:12  545  BulletShooter: mouse event
20:44:12  546  BulletShooter: mouse event
20:44:12  546  BulletShooter: mouse event
20:44:12  546  BulletShooter: mouse event
20:44:12  546 Block hit by asteroid
20:44:12  547  BulletShooter: mouse event
20:44:12  547  BulletShooter: mouse event
20:44:12  548  BulletShooter: mouse event
20:44:12  549  BulletShooter: mouse event
20:44:12  549  BulletShooter: mouse event
20:44:12  550  BulletShooter: mouse event
20:44:12  551 Removing Asteroid
20:44:12  551 Removing Asteroid
20:44:12  552 BulletShooter: Pew Pew
20:44:12  552  BulletShooter: mouse event
20:44:12  552  BulletShooter: mouse event
20:44:12  553  BulletShooter: mouse event
20:44:12  554  BulletShooter: mouse event
20:44:12  555  BulletShooter: mouse event
20:44:13  556  BulletShooter: mouse event
20:44:13  557  BulletShooter: mouse event
20:44:13  558  BulletShooter: mouse event
20:44:13  559  BulletShooter: mouse event
20:44:13  559  BulletShooter: mouse event
20:44:13  559  BulletShooter: mouse event
20:44:13  560  BulletShooter: mouse event
20:44:13  561  BulletShooter: mouse event
20:44:13  562  BulletShooter: mouse event
20:44:13  562  BulletShooter: mouse event
20:44:13  563  BulletShooter: mouse event
20:44:13  563  BulletShooter: mouse event
20:44:13  563  BulletShooter: mouse event
20:44:13  564  BulletShooter: mouse event
20:44:13  566  BulletShooter: mouse event
20:44:13  566  BulletShooter: mouse event
20:44:13  566  BulletShooter: mouse event
20:44:13  567  BulletShooter: mouse event
20:44:13  567  BulletShooter: mouse event
20:44:13  568  BulletShooter: mouse event
20:44:13  568  BulletShooter: mouse event
20:44:13  569  BulletShooter: mouse event
20:44:13  571  BulletShooter: mouse event
20:44:13  571  BulletShooter: mouse event
20:44:13  571  BulletShooter: mouse event
20:44:13  571  BulletShooter: mouse event
20:44:13  572  BulletShooter: mouse event
20:44:13  572  BulletShooter: mouse event
20:44:13  572  BulletShooter: mouse event
20:44:13  573  BulletShooter: mouse event
20:44:13  574  BulletShooter: mouse event
20:44:13  574  BulletShooter: mouse event
20:44:13  575  BulletShooter: mouse event
20:44:13  577  BulletShooter: mouse event
20:44:13  577  BulletShooter: mouse event
20:44:13  577  BulletShooter: mouse event
20:44:13  578  BulletShooter: mouse event
20:44:13  578  BulletShooter: mouse event
20:44:13  579  BulletShooter: mouse event
20:44:13  579  BulletShooter: mouse event
20:44:13  579 Removing Asteroid
20:44:13  579 Removing Asteroid
20:44:13  580  BulletShooter: mouse event
20:44:13  581  BulletShooter: mouse event
20:44:13  582 BulletShooter: Pew Pew
20:44:13  582  BulletShooter: mouse event
20:44:13  582  BulletShooter: mouse event
20:44:13  583  BulletShooter: mouse event
20:44:13  583  BulletShooter: mouse event
20:44:13  584  BulletShooter: mouse event
20:44:13  584  BulletShooter: mouse event
20:44:13  586  BulletShooter: mouse event
20:44:14  587  BulletShooter: mouse event
20:44:14  588  BulletShooter: mouse event
20:44:14  588  BulletShooter: mouse event
20:44:14  588  BulletShooter: mouse event
20:44:14  589  BulletShooter: mouse event
20:44:14  589  BulletShooter: mouse event
20:44:14  590  BulletShooter: mouse event
20:44:14  590  BulletShooter: mouse event
20:44:14  591  BulletShooter: mouse event
20:44:14  591  BulletShooter: mouse event
20:44:14  592  BulletShooter: mouse event
20:44:14  594  BulletShooter: mouse event
20:44:14  594  BulletShooter: mouse event
20:44:14  594  BulletShooter: mouse event
20:44:14  595  BulletShooter: mouse event
20:44:14  595  BulletShooter: mouse event
20:44:14  596  BulletShooter: mouse event
20:44:14  597  BulletShooter: mouse event
20:44:14  598  BulletShooter: mouse event
20:44:14  600  BulletShooter: mouse event
20:44:14  601  BulletShooter: mouse event
20:44:14  601  BulletShooter: mouse event
20:44:14  602  BulletShooter: mouse event
